ID,Parameter_ID,Value,Segments,SegmentStructure,ConVoStructure
lit-99_slope-1,99_slope,šlaitas,ʃ lˠ ɐɪˑ t ɐ s,S R V T V S,C C V C V C
lit-99_slope-2,99_slope,nuokalnė,n u ə k ɐ lˠ n eː,R V V T V R R V,C V V C V C C V
lit-100_source-1,100_source,versmė,ʋ ɛ r s m eː,R V R S R V,C V C C C V
lit-100_source-2,100_source,šaltinis,ʃ ɐ lˠ tʲ ɪ nʲ ɪ s,S V R T V R V S,C V C C V C V C
lit-101_brook-1,101_brook,upelis,ʊ p ɛ lʲ ɪ s,V T V R V S,V C V C V C
lit-102_river-1,102_river,upė,ʊ p eː,V T V,V C V
lit-103_shore-1,103_shore,krantas,k r ɐ nˑ t ɐ s,T R V R T V S,C C V C C V C
lit-104_coast-1,104_coast,pajūris,p ɐ j uː rʲ ɪ s,T V R V R V S,C V C V C V C
lit-105_land-1,105_land,sausuma,s ɒʊˑ s ʊ m ɑ,S V S V R V,C V C V C V
lit-106_sea-1,106_sea,jūra,j uː r ɐ,R V R V,C V C V
lit-107_covebay-1,107_covebay,įlanka,j iː lˠ ɐ n k ɐ,R V R V R T V,C V C V C C V
lit-107_covebay-2,107_covebay,užutekis,ʊ ʒ ʊ t ɛ kʲ ɪ s,V S V T V T V S,V C V C V C V C
lit-108_island-1,108_island,sala,s ɐ lˠ ɑ,S V R V,C V C V
lit-109_flower-1,109_flower,gėlė,g eː lˠ eː,T V R V,C V C V
lit-110_grass-1,110_grass,žolė,ʒ o lˠ eː,S V R V,C V C V
lit-111_root-1,111_root,šaknis,ʃ ɐ k nʲ ɪ s,S V T R V S,C V C C V C
lit-112_tree-1,112_tree,medis,m ɛ dʲ ɪ s,R V T V S,C V C V C
lit-113_trunk-1,113_trunk,kamienas,k ɐ m i ə n ɐ s,T V R V V R V S,C V C V V C V C
lit-114_bark-1,114_bark,žievė,ʒ i ə ʋ eː,S V V R V,C V V C V
lit-115_limb-1,115_limb,šaka,ʃ ɐ k ɑ,S V T V,C V C V
lit-116_twig-1,116_twig,šakelė,ʃ ɐ k ɛ lˠ eː,S V T V R V,C V C V C V
lit-117_leaf-1,117_leaf,lapas,lˠ a p ɐ s,R V T V S,C V C V C
lit-118_birch-1,118_birch,beržas,b eˑ r ʒ ɐ s,T V R S V S,C V C C V C
lit-119_pine-1,119_pine,pušis,p ʊ ʃʲ ɪ s,T V S V S,C V C V C
lit-120_willow-1,120_willow,karklas,k ɐ rˑ k lˠ ɐ s,T V R T R V S,C V C C C V C
lit-121_fir-1,121_fir,eglė,ɛ g lˠ eː,V T R V,V C C V
lit-121_fir-2,121_fir,kėnis,k eː nʲ ɪ s,T V R V S,C V C V C
lit-122_horn-1,122_horn,ragas,r a g ɐ s,R V T V S,C V C V C
lit-123_feather-1,123_feather,plunksna,p lˠ ʊ n k s n ɐ,T R V R T S R V,C C V C C C C V
lit-124_fur-1,124_fur,kailis,k aˑ j ɪ lʲ ɪ s,T V R V R V S,C V C V C V C
lit-125_wing-1,125_wing,sparnas,s p ɐ rˑ n ɐ s,S T V R R V S,C C V C C V C
lit-126_claw-1,126_claw,kanopa,k ɐ n oː p ɐ,T V R V T V,C V C V C V
lit-127_paw-1,127_paw,nagas,n a g ɐ s,R V T V S,C V C V C
lit-128_tail-1,128_tail,uodega,uə d ɛ g ɑ,V T V T V,V C V C V
lit-129_egg-1,129_egg,kiaušinis,kʲ ɛʊˑ ʃʲ ɪ nʲ ɪ s,T V S V R V S,C V C V C V C
lit-130_nest-1,130_nest,gūžta,g uː ʒ t ɑ,T V S T V,C V C C V
lit-130_nest-2,130_nest,lizdas,lʲ ɪ z d ɐ s,R V S T V S,C V C C V C
lit-131_lair-1,131_lair,ola,o lˠ ɑ,V R V,V C V
lit-132_animal-1,132_animal,gyvūnas,gʲ iː ʋ uː n ɐ s,T V R V R V S,C V C V C V C
lit-133_flock-1,133_flock,banda,b ɐ n d ɑ,T V R T V,C V C C V
lit-133_flock-2,133_flock,kaimenė,k ɐɪˑ m ɛ n eː,T V R V R V,C V C V C V
lit-134_cow-1,134_cow,karvė,k aˑ r ʋ eː,T V R R V,C V C C V
lit-135_bull-1,135_bull,bulius,b ʊ lʲ ɪ ʊ s,T V R V V S,C V C V V C
lit-136_horse-1,136_horse,arklys,ɐ r k lˠ iː s,V R T R V S,V C C C V C
